mun,year,concepto,prop_ingr,hist,t,monto
General Escobedo,1990,Ingresos provenientes de transferencias federales,48.4627956,b,ing,4756478
General Escobedo,1990,Ingresos de deuda,1.882788063,b,ing,184790
General Escobedo,2000,Ingresos propios,355.7680429,b,ing,83056540
General Escobedo,2000,Ingresos provenientes de transferencias federales,512.5653846,b,ing,119661977
General Escobedo,2000,Ingresos de deuda,64.14239881,b,ing,14974492
General Escobedo,2010,Ingresos propios,559.7217667,b,ing,200345130
General Escobedo,2010,Ingresos provenientes de transferencias federales,1327.715011,b,ing,475238328
General Escobedo,2010,Ingresos de deuda,938.7964921,b,ing,336030000
General Escobedo,2015,Ingresos propios,1153.361735,b,ing,490349435
General Escobedo,2015,Ingresos provenientes de transferencias federales,1618.654805,b,ing,688167853
General Escobedo,2015,Ingresos de deuda,0,b,ing,0
General Escobedo,2018,Ingresos propios,770.7654465,b,ing,347721582
General Escobedo,2018,Ingresos provenientes de transferencias federales,1915.343711,b,ing,864084331
General Escobedo,2018,Ingresos de deuda,91.00531545,b,ing,41055956
General Zuazua,1990,Ingresos propios,26.11383688,b,ing,121351
General Zuazua,1990,Ingresos provenientes de transferencias federales,272.1704325,b,ing,1264776
General Zuazua,1990,Ingresos de deuda,0,b,ing,0
General Zuazua,2000,Ingresos propios,470.6761147,b,ing,2839589
General Zuazua,2000,Ingresos provenientes de transferencias federales,1941.977623,b,ing,11715951
General Zuazua,2000,Ingresos de deuda,0,b,ing,0
General Zuazua,2010,Ingresos propios,223.4708311,b,ing,12338495
General Zuazua,2010,Ingresos provenientes de transferencias federales,600.6673972,b,ing,33164649
General Zuazua,2010,Ingresos de deuda,0,b,ing,0
General Zuazua,2015,Ingresos propios,257.8147235,b,ing,17349384
General Zuazua,2015,Ingresos provenientes de transferencias federales,1179.091747,b,ing,79345800
General Zuazua,2015,Ingresos de deuda,71.84523137,b,ing,4834753
Guadalupe,1990,Ingresos propios,49.23340429,a,ing,26367442
Guadalupe,1990,Ingresos provenientes de transferencias federales,51.06068788,a,ing,27346062
Guadalupe,1990,Ingresos de deuda,0,a,ing,0
Guadalupe,2000,Ingresos propios,346.8764552,a,ing,232463419
Guadalupe,2000,Ingresos provenientes de transferencias federales,550.7046908,a,ing,369061357
Guadalupe,2000,Ingresos de deuda,23.56757023,a,ing,15794090
Guadalupe,2010,Ingresos propios,481.6997637,a,ing,326595330
Guadalupe,2010,Ingresos provenientes de transferencias federales,1431.858298,a,ing,970808517
Guadalupe,2010,Ingresos de deuda,250.7352442,a,ing,170000000
Guadalupe,2015,Ingresos propios,686.6052674,a,ing,468869005
Guadalupe,2015,Ingresos provenientes de transferencias federales,1880.200435,a,ing,1283951273
Guadalupe,2015,Ingresos de deuda,87.86316776,a,ing,60000000
Guadalupe,2018,Ingresos propios,929.481769,a,ing,653250941
Guadalupe,2018,Ingresos provenientes de transferencias federales,2568.793316,a,ing,1805378768
Guadalupe,2018,Ingresos de deuda,106.9770892,a,ing,75184782
Juárez,1990,Ingresos propios,32.3486828,b,ing,906216
Juárez,1990,Ingresos provenientes de transferencias federales,57.95873492,b,ing,1623656
Juárez,1990,Ingresos de deuda,0,b,ing,0
Juárez,2000,Ingresos propios,333.7709521,b,ing,22194767
Juárez,2000,Ingresos provenientes de transferencias federales,513.9538024,b,ing,34176386
Juárez,2000,Ingresos de deuda,0,b,ing,0
Juárez,2010,Ingresos propios,442.1148072,b,ing,113610242
Juárez,2010,Ingresos provenientes de transferencias federales,839.8434097,b,ing,215814561
Juárez,2010,Ingresos de deuda,44.36205394,b,ing,11399717
Juárez,2015,Ingresos propios,815.6702031,b,ing,272010515
Juárez,2015,Ingresos provenientes de transferencias federales,1187.159868,b,ing,395895260
Juárez,2015,Ingresos de deuda,87.62410452,b,ing,29220974
Juárez,2018,Ingresos propios,437.1304863,b,ing,163366591
Juárez,2018,Ingresos provenientes de transferencias federales,1621.768142,b,ing,606095299
Juárez,2018,Ingresos de deuda,217.9753589,b,ing,81462841
Monterrey,1990,Ingresos propios,59.25250225,a,ing,63355027
Monterrey,1990,Ingresos provenientes de transferencias federales,93.48227242,a,ing,99954798
Monterrey,1990,Ingresos de deuda,0,a,ing,0
Monterrey,2000,Ingresos propios,698.8344703,a,ing,776403000
Monterrey,2000,Ingresos provenientes de transferencias federales,761.4962057,a,ing,846020000
Monterrey,2000,Ingresos de deuda,81.18833804,a,ing,90200000
Monterrey,2010,Ingresos propios,1123.098298,a,ing,1275334272
Monterrey,2010,Ingresos provenientes de transferencias federales,1962.662607,a,ing,2228701523
Monterrey,2010,Ingresos de deuda,186.0849694,a,ing,211308787
Monterrey,2015,Ingresos propios,1693.750892,a,ing,1878659371
Monterrey,2015,Ingresos provenientes de transferencias federales,2429.067863,a,ing,2694251631
Monterrey,2015,Ingresos de deuda,257.2682409,a,ing,285354472
Monterrey,2018,Ingresos propios,2607.83479,a,ing,2886395879
Monterrey,2018,Ingresos provenientes de transferencias federales,3131.851463,a,ing,3466386441
Monterrey,2018,Ingresos de deuda,32.16430539,a,ing,35600000
Pesquería,1990,Ingresos propios,43.13837323,b,ing,353217
Pesquería,1990,Ingresos provenientes de transferencias federales,178.2656326,b,ing,1459639
Pesquería,1990,Ingresos de deuda,7.309477284,b,ing,59850
Pesquería,2000,Ingresos propios,575.8190089,b,ing,6518847
Pesquería,2000,Ingresos provenientes de transferencias federales,905.9046904,b,ing,10255747
Pesquería,2000,Ingresos de deuda,8.833141949,b,ing,100000
Pesquería,2010,Ingresos propios,2305.792256,b,ing,48059628
Pesquería,2010,Ingresos provenientes de transferencias federales,1456.276688,b,ing,30353175
Pesquería,2010,Ingresos de deuda,392.8845176,b,ing,8188892
Pesquería,2015,Ingresos propios,850.6106828,b,ing,74146032
Pesquería,2015,Ingresos provenientes de transferencias federales,656.3936651,b,ing,57216523
Pesquería,2015,Ingresos de deuda,0,b,ing,0
Pesquería,2018,Ingresos propios,1728.881807,b,ing,180913650
Pesquería,2018,Ingresos provenientes de transferencias federales,1937.748982,b,ing,202769929
Pesquería,2018,Ingresos de deuda,0,b,ing,0
Salinas Victoria,1990,Ingresos propios,30.66305947,b,ing,291851
Salinas Victoria,1990,Ingresos provenientes de transferencias federales,170.4040765,b,ing,1621906
Salinas Victoria,1990,Ingresos de deuda,0,b,ing,0
Salinas Victoria,2000,Ingresos propios,329.7678722,b,ing,6273504
Salinas Victoria,2000,Ingresos provenientes de transferencias federales,897.7988856,b,ing,17079726
Salinas Victoria,2000,Ingresos de deuda,5.476135408,b,ing,104178
Salinas Victoria,2010,Ingresos propios,996.4654011,b,ing,32544560
Salinas Victoria,2010,Ingresos provenientes de transferencias federales,1967.782578,b,ing,64267779
Salinas Victoria,2010,Ingresos de deuda,358.5945805,b,ing,11711699
Salinas Victoria,2015,Ingresos propios,1726.373136,b,ing,93555613
Salinas Victoria,2015,Ingresos provenientes de transferencias federales,1703.149099,b,ing,92297056
Salinas Victoria,2015,Ingresos de deuda,243.708481,b,ing,13207050
San Nicolás,1990,Ingresos propios,51.19982455,a,ing,22353997
San Nicolás,1990,Ingresos provenientes de transferencias federales,69.53791889,a,ing,30360464
San Nicolás,1990,Ingresos de deuda,0,a,ing,0
San Nicolás,2000,Ingresos propios,373.9106984,a,ing,185788000
San Nicolás,2000,Ingresos provenientes de transferencias federales,615.4971643,a,ing,305827000
San Nicolás,2000,Ingresos de deuda,106.2775973,a,ing,52807000
San Nicolás,2010,Ingresos propios,778.9576175,a,ing,345290880
San Nicolás,2010,Ingresos provenientes de transferencias federales,2119.697369,a,ing,939604612
San Nicolás,2010,Ingresos de deuda,772.5397216,a,ing,342446000
San Nicolás,2015,Ingresos propios,1055.860112,a,ing,454170836
San Nicolás,2015,Ingresos provenientes de transferencias federales,3078.240941,a,ing,1324083793
San Nicolás,2015,Ingresos de deuda,0,a,ing,0
San Nicolás,2018,Ingresos propios,1347.552955,a,ing,637846673
San Nicolás,2018,Ingresos provenientes de transferencias federales,2869.227869,a,ing,1358111712
San Nicolás,2018,Ingresos de deuda,431.4381572,a,ing,204215643
San Pedro,1990,Ingresos propios,366.6328379,a,ing,41444176
San Pedro,1990,Ingresos provenientes de transferencias federales,257.1603769,a,ing,29069409
San Pedro,1990,Ingresos de deuda,0,a,ing,0
San Pedro,2000,Ingresos propios,2935.870827,a,ing,369855135
San Pedro,2000,Ingresos provenientes de transferencias federales,1270.857872,a,ing,160100133
San Pedro,2000,Ingresos de deuda,0,a,ing,0
San Pedro,2010,Ingresos propios,4524.398446,a,ing,554958189
San Pedro,2010,Ingresos provenientes de transferencias federales,3628.471046,a,ing,445064630
San Pedro,2010,Ingresos de deuda,81.52683456,a,ing,10000000
San Pedro,2015,Ingresos propios,10699.76251,a,ing,1317739952
San Pedro,2015,Ingresos provenientes de transferencias federales,6508.134715,a,ing,801515839
San Pedro,2015,Ingresos de deuda,615.3488908,a,ing,75783908
San Pedro,2018,Ingresos propios,11684.51136,a,ing,1583356450
San Pedro,2018,Ingresos provenientes de transferencias federales,9686.396077,a,ing,1312593846
San Pedro,2018,Ingresos de deuda,1143.480588,a,ing,154951911
Santa Catarina,1990,Ingresos propios,37.70282823,b,ing,6177533
Santa Catarina,1990,Ingresos provenientes de transferencias federales,64.84138958,b,ing,10624132
